title,artist,description
Lag Jaa Gale,Lata Mangeshkar,A deeply emotional nostalgic vintage ghazal classic filled with hauntingly beautiful violins and sad poetic lyrics about bittersweet partings.
Tum Hi Ho,Arijit Singh,An intense melancholic romantic piano ballad depicting overwhelming love devotion obsession and tragic heartbreak with rain aesthetics.
Chaiyya Chaiyya,Sukhwinder Singh,An explosive high energy folk fusion track driven by heavy Punjabi dhol beats rhythmic thumping train acoustics and celebratory rustic energy.
Dil Chahta Hai,Shankar Mahadevan,An upbeat feel good road trip anthem featuring sunny acoustic guitars and modern synth pop celebrating lifelong friendship and youthful freedom.
Kun Faya Kun,A.R. Rahman,A deeply spiritual ethereal Sufi qawwali masterpiece starting with serene acoustic plucking and building into a grand divine orchestral climax of inner peace.
Kal Ho Naa Ho,Sonu Nigam,A poignant bittersweet life anthem blending soaring orchestral strings with deeply philosophical lyrics about living in the present moment.
Yeh Dosti,Kishore Kumar,An iconic retro buddy anthem driven by an upbeat energetic harmonica rhythm and a joyful classic rock vibe celebrating unconditional loyalty.
Kabira,Tochi Raina & Rekha Bhardwaj,A soulful acoustic folk track mixing traditional rustic vocals with deep emotional depth centered around letting go and homecomings.
Zindagi Do Pal Ki,KK,A smooth dreamlike acoustic pop track with floating melancholic melodies exploring the fleeting beauty of life romance and destiny.
Mitwa,Shafqat Amanat Ali,A sweeping sufi rock fusion track with soaring vocal ranges electric guitar riffs and classical thumri textures about unrequited love.
Tum Se Hi,Mohit Chauhan,A gentle breezy romantic acoustic pop track perfect for walking in a light morning drizzle with uplifting positive acoustic strums.
Tujhe Dekha Toh,Kumar Sanu & Alka Yagnik,The quintessential 90s Bollywood romantic anthem featuring lush mandolin plucking and sweeping nostalgic orchestral strings.
Rockstar Phir Se Ud Chala,Mohit Chauhan,An experimental abstract acoustic track tracking a free spirited wandering soul with changing tempo structures and flight symbolism.
Channa Mereya,Arijit Singh,A heartbreaking intense acoustic ballad driven by emotional sufi verses heavy dhol beats and raw gut wrenching pain of unrequited marriage love.
Roop Tera Mastana,Kishore Kumar,An ultra sensual vintage retro track driven by a seductive groovy saxophone rhythm and syncopated acoustic guitar plucks.
Pehla Nasha,Udit Narayan,A magical lighthearted 90s piano romance track that feels like floating on clouds capturing the sweet dizziness of first love.
Ae Dil Hai Mushkil,Arijit Singh,A grand dark symphonic tragedy track fueled by intense orchestral cellos and operatic scales detailing deep romantic longing.
Kajra Re,Alisha Chinai & Javed Ali,A spicy energetic item track loaded with heavy North Indian dholak beats groovy qawwali claps and seductive celebratory vocals.
